Age,male,female,male(not Thai),female(not Thai),Times,total (Thai),total (not Thai),total
98,4545,6275,356,200,2024-05-31,10820,556,11376
99,3368,4217,350,174,2024-05-31,7585,524,8109
100,2976,3352,325,194,2024-05-31,6328,519,6847
101,14892,15331,2893,1360,2024-05-31,30223,4253,34476
0,224975,211420,9420,8742,2024-12-31,436395,18162,454557
1,256482,242550,9592,8961,2024-12-31,499032,18553,517585
2,252024,236065,7534,7082,2024-12-31,488089,14616,502705
3,274019,259031,6970,6377,2024-12-31,533050,13347,546397
4,293714,276946,7545,7025,2024-12-31,570660,14570,585230
5,306421,290755,9814,9269,2024-12-31,597176,19083,616259
6,323268,305420,18248,17317,2024-12-31,628688,35565,664253
7,340324,320755,22659,21168,2024-12-31,661079,43827,704906
8,342901,324753,22988,21459,2024-12-31,667654,44447,712101
9,355205,337690,25061,23641,2024-12-31,692895,48702,741597
10,376772,356281,17756,16826,2024-12-31,733053,34582,767635
11,384942,363409,13383,12726,2024-12-31,748351,26109,774460
12,411491,389317,12228,11328,2024-12-31,800808,23556,824364
13,402924,380763,9892,9304,2024-12-31,783687,19196,802883
14,388392,368338,7676,7361,2024-12-31,756730,15037,771767
15,399858,378011,5707,5196,2024-12-31,777869,10903,788772
16,402038,380656,4521,4273,2024-12-31,782694,8794,791488
17,410402,389221,3906,3703,2024-12-31,799623,7609,807232
18,406687,385174,4010,3667,2024-12-31,791861,7677,799538
19,410383,390985,4125,4006,2024-12-31,801368,8131,809499
20,414930,395715,5219,5030,2024-12-31,810645,10249,820894
21,403236,384039,5622,5337,2024-12-31,787275,10959,798234
22,404325,386188,6013,5716,2024-12-31,790513,11729,802242
23,405453,387729,6217,5863,2024-12-31,793182,12080,805262
24,426085,409875,6199,5923,2024-12-31,835960,12122,848082
25,425627,407759,6128,5832,2024-12-31,833386,11960,845346
26,452942,436832,5896,5447,2024-12-31,889774,11343,901117
27,490462,472529,6108,5639,2024-12-31,962991,11747,974738
28,500569,482540,5947,5616,2024-12-31,983109,11563,994672
29,493556,478589,5458,5324,2024-12-31,972145,10782,982927
30,477160,461625,5386,5269,2024-12-31,938785,10655,949440
31,478997,466134,5492,5461,2024-12-31,945131,10953,956084
32,485543,473777,5534,5644,2024-12-31,959320,11178,970498
33,481912,470137,5123,5268,2024-12-31,952049,10391,962440
34,473749,465256,5214,5468,2024-12-31,939005,10682,949687
35,454068,446024,4872,5324,2024-12-31,900092,10196,910288
36,443349,436770,4885,5368,2024-12-31,880119,10253,890372
37,438696,437191,5294,5614,2024-12-31,875887,10908,886795
38,452946,451975,5351,5890,2024-12-31,904921,11241,916162
39,469203,469826,5034,5740,2024-12-31,939029,10774,949803
40,470240,473357,5232,5901,2024-12-31,943597,11133,954730
41,479600,486060,5422,6079,2024-12-31,965660,11501,977161
42,495114,503784,5696,6399,2024-12-31,998898,12095,1010993
43,493992,503782,5840,6530,2024-12-31,997774,12370,1010144
44,502637,514268,6017,6502,2024-12-31,1016905,12519,1029424
45,500957,516776,5826,6117,2024-12-31,1017733,11943,1029676
46,481563,501758,6004,6215,2024-12-31,983321,12219,995540
47,503073,527540,5495,5541,2024-12-31,1030613,11036,1041649
48,494141,523072,5519,5556,2024-12-31,1017213,11075,1028288
49,482228,513850,5274,5040,2024-12-31,996078,10314,1006392
50,487861,524594,5181,4980,2024-12-31,1012455,10161,1022616
51,474420,514767,5584,5203,2024-12-31,989187,10787,999974
52,485684,532784,5227,4765,2024-12-31,1018468,9992,1028460
53,489560,542646,5162,4597,2024-12-31,1032206,9759,1041965
54,477548,529700,5190,4623,2024-12-31,1007248,9813,1017061
55,465355,523506,4504,4018,2024-12-31,988861,8522,997383
56,478274,541783,5255,4467,2024-12-31,1020057,9722,1029779
57,455149,515567,4514,3454,2024-12-31,970716,7968,978684
58,440116,506357,4424,3496,2024-12-31,946473,7920,954393
59,442840,511090,4409,3221,2024-12-31,953930,7630,961560
60,435629,509584,4269,3079,2024-12-31,945213,7348,952561
61,407375,473538,4537,3300,2024-12-31,880913,7837,888750
62,394620,459414,4297,2925,2024-12-31,854034,7222,861256
63,372526,438015,3996,2536,2024-12-31,810541,6532,817073
64,365446,438440,4212,2816,2024-12-31,803886,7028,810914
65,346338,416657,3908,2312,2024-12-31,762995,6220,769215
66,313286,382956,4049,2650,2024-12-31,696242,6699,702941
67,298454,367161,3867,2211,2024-12-31,665615,6078,671693
68,272827,333634,3745,2247,2024-12-31,606461,5992,612453
69,250017,310634,3478,1809,2024-12-31,560651,5287,565938
70,249890,317908,3173,1718,2024-12-31,567798,4891,572689
71,227794,291692,3274,1728,2024-12-31,519486,5002,524488
72,219748,281727,3083,1477,2024-12-31,501475,4560,506035
73,202237,262600,2707,1256,2024-12-31,464837,3963,468800
74,187378,247256,2846,1394,2024-12-31,434634,4240,438874
75,176885,236476,2433,1041,2024-12-31,413361,3474,416835
76,153663,205297,2446,1131,2024-12-31,358960,3577,362537
77,134836,182636,2136,907,2024-12-31,317472,3043,320515
78,119236,164071,1946,875,2024-12-31,283307,2821,286128
79,102547,143783,1694,815,2024-12-31,246330,2509,248839
80,94850,133009,1647,785,2024-12-31,227859,2432,230291
81,84588,121971,1540,788,2024-12-31,206559,2328,208887
82,77015,112996,1282,776,2024-12-31,190011,2058,192069
83,72609,109608,1169,727,2024-12-31,182217,1896,184113
84,59869,93027,1121,755,2024-12-31,152896,1876,154772
85,58107,90137,976,635,2024-12-31,148244,1611,149855
86,51650,82381,873,745,2024-12-31,134031,1618,135649
87,43315,71368,748,566,2024-12-31,114683,1314,115997
88,37248,61628,634,552,2024-12-31,98876,1186,100062
89,31489,53408,679,585,2024-12-31,84897,1264,86161
90,26148,43790,595,423,2024-12-31,69938,1018,70956
91,21702,37695,512,417,2024-12-31,59397,929,60326
92,18263,31073,512,335,2024-12-31,49336,847,50183
93,14200,24432,478,316,2024-12-31,38632,794,39426
94,11237,19128,490,310,2024-12-31,30365,800,31165
95,9086,15115,488,292,2024-12-31,24201,780,24981
96,7295,11866,520,254,2024-12-31,19161,774,19935
97,6171,9488,495,238,2024-12-31,15659,733,16392
98,4684,6715,357,234,2024-12-31,11399,591,11990
99,3941,5215,344,191,2024-12-31,9156,535,9691
100,3037,3597,341,156,2024-12-31,6634,497,7131
101,16796,17004,3154,1476,2024-12-31,33800,4630,38430
0,215966,202958,9988,9086,2025-05-31,418924,19074,437998
1,245844,231798,9661,8990,2025-05-31,477642,18651,496293
2,258649,242671,8539,8073,2025-05-31,501320,16612,517932
3,264611,249478,7066,6523,2025-05-31,514089,13589,527678
4,280274,264994,7163,6623,2025-05-31,545268,13786,559054
5,299974,284254,8790,8298,2025-05-31,584228,17088,601316
6,320189,302716,13058,12378,2025-05-31,622905,25436,648341
7,334777,315370,23959,22575,2025-05-31,650147,46534,696681
8,340829,322230,21596,20112,2025-05-31,663059,41708,704767
9,352978,335872,25253,23714,2025-05-31,688850,48967,737817
10,366854,347288,17003,16087,2025-05-31,714142,33090,747232
11,376549,356072,14324,13648,2025-05-31,732621,27972,760593
12,407447,384795,12698,11953,2025-05-31,792242,24651,816893
13,412091,389104,10808,10101,2025-05-31,801195,20909,822104
14,387022,367373,8706,8240,2025-05-31,754395,16946,771341
15,396104,374977,6358,5944,2025-05-31,771081,12302,783383
16,400826,379522,5074,4718,2025-05-31,780348,9792,790140
17,404101,383414,4023,3786,2025-05-31,787515,7809,795324
18,410544,388872,4061,3788,2025-05-31,799416,7849,807265
19,407526,386977,4071,3883,2025-05-31,794503,7954,802457
20,414358,395574,4733,4576,2025-05-31,809932,9309,819241
21,407718,388752,5607,5462,2025-05-31,796470,11069,807539
22,401483,383309,5856,5503,2025-05-31,784792,11359,796151
23,403089,385856,6283,5840,2025-05-31,788945,12123,801068
24,417261,400578,6211,5963,2025-05-31,817839,12174,830013
25,428928,411123,6120,5836,2025-05-31,840051,11956,852007
26,430360,414256,6218,5802,2025-05-31,844616,12020,856636
27,483600,466717,5993,5557,2025-05-31,950317,11550,961867
28,499373,482083,6250,5734,2025-05-31,981456,11984,993440
29,492342,476013,5481,5344,2025-05-31,968355,10825,979180
30,485762,469535,5355,5277,2025-05-31,955297,10632,965929
31,475482,463567,5480,5425,2025-05-31,939049,10905,949954
32,478015,465126,5643,5685,2025-05-31,943141,11328,954469
33,485794,474786,5197,5341,2025-05-31,960580,10538,971118
34,477135,466749,5293,5554,2025-05-31,943884,10847,954731
35,460466,453276,4861,5274,2025-05-31,913742,10135,923877
36,452394,445640,5085,5598,2025-05-31,898034,10683,908717
37,429695,426501,5025,5361,2025-05-31,856196,10386,866582
38,445268,444792,5574,6053,2025-05-31,890060,11627,901687
39,462770,463045,5056,5707,2025-05-31,925815,10763,936578
40,471514,474874,5161,5778,2025-05-31,946388,10939,957327
41,468058,472640,5413,6258,2025-05-31,940698,11671,952369
42,488059,496430,5655,6273,2025-05-31,984489,11928,996417
43,499501,508924,5939,6539,2025-05-31,1008425,12478,1020903
44,496028,508013,6176,6790,2025-05-31,1004041,12966,1017007
45,498639,514626,5616,5893,2025-05-31,1013265,11509,1024774
46,489242,506863,6307,6666,2025-05-31,996105,12973,1009078
47,482210,505942,5393,5359,2025-05-31,988152,10752,998904
48,506085,535335,5764,5896,2025-05-31,1041420,11660,1053080
49,478270,508510,5276,5093,2025-05-31,986780,10369,997149
50,488357,525346,5053,4878,2025-05-31,1013703,9931,1023634
51,480452,519547,5763,5398,2025-05-31,999999,11161,1011160
52,470399,517707,5270,4784,2025-05-31,988106,10054,998160
53,483848,532667,5148,4576,2025-05-31,1016515,9724,1026239
54,492619,547832,5342,4879,2025-05-31,1040451,10221,1050672
55,465071,521177,4460,3881,2025-05-31,986248,8341,994589
56,466494,530882,5442,4702,2025-05-31,997376,10144,1007520
57,472068,534499,4478,3406,2025-05-31,1006567,7884,1014451
58,434150,496981,4529,3604,2025-05-31,931131,8133,939264
59,447330,517821,4426,3263,2025-05-31,965151,7689,972840
60,436288,510812,4183,2991,2025-05-31,947100,7174,954274
61,413408,483513,4742,3399,2025-05-31,896921,8141,905062
62,396297,462334,4346,2926,2025-05-31,858631,7272,865903
63,387234,454902,4082,2594,2025-05-31,842136,6676,848812
64,359269,428242,4335,2893,2025-05-31,787511,7228,794739
65,358411,434010,3880,2193,2025-05-31,792421,6073,798494
66,327707,398784,4183,2794,2025-05-31,726491,6977,733468
67,299587,369362,3814,2154,2025-05-31,668949,5968,674917
68,280751,347481,3927,2323,2025-05-31,628232,6250,634482
69,268176,333700,3602,1891,2025-05-31,601876,5493,607369
70,256950,327340,3252,1650,2025-05-31,584290,4902,589192
71,230642,295623,3310,1787,2025-05-31,526265,5097,531362
72,221760,286022,3138,1464,2025-05-31,507782,4602,512384
73,205695,267436,2757,1274,2025-05-31,473131,4031,477162
74,188435,249107,2868,1399,2025-05-31,437542,4267,441809
75,178249,238078,2444,1029,2025-05-31,416327,3473,419800
76,157021,210975,2528,1193,2025-05-31,367996,3721,371717
77,135590,184075,2193,876,2025-05-31,319665,3069,322734
78,122300,168918,2057,923,2025-05-31,291218,2980,294198
79,103297,145414,1750,813,2025-05-31,248711,2563,251274
80,93380,132256,1631,746,2025-05-31,225636,2377,228013
81,87073,124197,1651,819,2025-05-31,211270,2470,213740
82,75060,110913,1341,768,2025-05-31,185973,2109,188082
83,73440,111164,1167,705,2025-05-31,184604,1872,186476
84,62291,95663,1128,749,2025-05-31,157954,1877,159831
85,54459,86228,959,599,2025-05-31,140687,1558,142245
86,51814,81627,920,750,2025-05-31,133441,1670,135111
87,43941,72277,763,590,2025-05-31,116218,1353,117571
88,36764,60530,656,541,2025-05-31,97294,1197,98491
89,31956,54089,645,569,2025-05-31,86045,1214,87259
90,25848,42903,599,427,2025-05-31,68751,1026,69777
91,21853,37135,527,415,2025-05-31,58988,942,59930
92,17522,30025,488,332,2025-05-31,47547,820,48367
93,14663,24368,474,313,2025-05-31,39031,787,39818
94,11008,18985,477,301,2025-05-31,29993,778,30771
95,9118,14798,490,281,2025-05-31,23916,771,24687
96,7034,11367,483,240,2025-05-31,18401,723,19124
97,6261,9481,493,226,2025-05-31,15742,719,16461
98,4591,6524,380,230,2025-05-31,11115,610,11725
99,4140,5303,341,183,2025-05-31,9443,524,9967
100,3065,3550,336,159,2025-05-31,6615,495,7110
101,17160,17118,3174,1473,2025-05-31,34278,4647,38925
